unit_id,unit_name,parent_category_id,row_id,doc_id,source,category_id,date,title,from_original_category,from_old_cross_query,from_new_object_query,rule_status,final_status,decision_basis
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4301951,paper:W4417475439,paper,C0246,2026-06-18,Operational reliability evaluation of virtual power plants considering communication uncertainties,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4381442,paper:W7118195309,paper,C0246,2026-01-05,MBGO-PID Based Frequency Regulation of Virtual Power Plants with Machine Learning Forecasted Day-Ahead Profiles for Diverse DER-Based Storage,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4381716,paper:W7118242083,paper,C0258,2026-01-07,Low-Carbon Scheduling Strategy for Multi-Virtual Power Plant Cluster Energy Sharing Collaborative Participation in Market Trading,False,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4382076,paper:W7118330843,paper,C0451,2026-01-05,ADVANCED SIMULATION TOOLS FOR POWER SYSTEM STABILITY AND CONTROL: A REVIEW,False,True,True,pending,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4382894,paper:W7118523897,paper,C0246,2026-01-01,A new decentralized control structure for generation scheduling in a multi-energy virtual power plant considering its interactions with an electric vehicle aggregator and a demand response provider,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4383478,paper:W7118662724,paper,C0236,2026-01-01,Operation optimization of a virtual power plant integrated with electrical-thermal and electrical-hydrogen systems using nash bargaining: A multi-time scale approach,False,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4384188,paper:W7118832519,paper,C0246,2026-01-01,Dynamic aggregation optimization model of virtual power plant considering economic and environmental cost equilibrium,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4384434,paper:W7118888410,paper,C0236,2026-01-01,Uncertainty-driven IoT-based management of hydrogen-backed multi-carrier virtual power plants for zero-carbon microgrids,False,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4384461,paper:W7118894990,paper,C0246,2026-01-06,Joint optimal scheduling of multiple virtual power plants with electric heating loads,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4385177,paper:W7119066609,paper,C0246,2026-01-07,Economical management of virtual power plant source-network-load-storage in the context of electricity-carbon market,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4385197,paper:W7119071081,paper,C0246,2026-01-06,Bi-Level Coordination of Demand Response and Multiple Virtual Power Plants in a Distribution Network for Flexibility Assessment,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4386350,paper:W7119469552,paper,C0246,2026-01-01,Multi-Timescale Distributed Control for Multi-Energy Virtual Power Plant Clusters via Cloud-Edge Collaboration,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4386925,paper:W7119495322,paper,C0156,2026-01-08,Design trade-offs for residential retail tariffs and virtual power plants,False,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4387068,paper:W7119501853,paper,C0246,2026-01-09,Resource aggregation and optimization strategy for virtual power plants based on multi-energy collaboration,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4387326,paper:W7119513581,paper,C0258,2026-01-09,Risk-aware collaborative optimization for quantity-price bidding and energy storage dispatch in virtual power plants,False,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4387563,paper:W7119524437,paper,C0246,2026-01-09,Virtual power plant information-physical convergence network construction and its resilience assessment,True,True,True,pending,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4388099,paper:W7119616231,paper,C0246,2026-01-10,Cost-optimal virtual power plant dispatch with hybrid storage strategy based on frequency-division coordination,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4390767,paper:W7122398700,paper,C0252,2026-01-11,Frequency control with aggregated heat pumps in buildings: A comparison of complex and simple control strategies,False,True,True,pending,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4391539,paper:W7122781141,paper,C0156,2026-01-01,CVaR-based bi-level bidding strategy for VPP to participate in energy-regulation-carbon markets,False,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4391717,paper:W7122971039,paper,C0728,2026-01-12,High-Power and Long-Lifetime Na-Ion Batteries Enabled by High-Loading Vanadium-Based Phosphate Heterostructure Cathodes,False,False,True,pending,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4391773,paper:W7123247748,paper,C0246,2026-01-24,Power Reserve Capacity from Virtual Power Plants with Reliability and Cost Guarantees,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4392158,paper:W7123340587,paper,C0190,2026-01-01,A Physics-Informed Reinforcement Learning Approach to Vehicle-to-Grid Control With Real-Time Battery Degradation,False,False,True,pending,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4392839,paper:W7123356904,paper,C0246,2026-01-12,Optimizing virtual power plant coordination through locational marginal flexibility under network constraints,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4395243,paper:W7124167915,paper,C0246,2026-01-14,A holistic optimization framework for virtual power plants with physics-informed battery degradation and probabilistic stability constraints,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4395767,paper:W7124253847,paper,C0420,2026-01-15,Online measurement of differential drain to source voltage for SiC MOSFETS power module,False,False,True,pending,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4462931,paper:W7132848402,paper,C0246,2026-02-28,Enhanced frequency regulation strategy for distributed energy resources coordinated via virtual power plant architecture in solar photovoltaic rich networks,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4463098,paper:W7132855769,paper,C0381,2026-01-01,Electric Vehicle V2G Stations Connected to Virtual Power Plants Considering Photovoltaic Power Forecasting,False,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4463430,paper:W7133118618,paper,C0246,2026-02-28,Optimal Economic Dispatch Strategy for Virtual Power Plants Considering Flexible Resource Responses in Uncertain Scenarios,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4463775,paper:W7133133543,paper,C0134,2026-03-01,Deposition Characteristics of SiN Thin Film Deposited by Applying the Chucking Function in a Mono Polar ESC Heater,False,False,True,pending,pending,仅正文提及或题名对象/任务不完整；扩展口径纳入，严格口径不纳入
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4464609,paper:W7133206874,paper,C0315,2026-03-01,Virtual power plant in China's electricity-carbon-green certificate markets: A system dynamics analysis of inter-provincial trading,False,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
U0246,虚拟电厂资源聚合、调度与市场履约,C0246,4465167,paper:W7133230758,paper,C0246,2026-03-02,Dynamic energy storage pricing for virtual power plants via bilevel game optimization under multiple uncertainties,True,True,True,strict,strict,题名明确虚拟电厂且有聚合/运行/市场任务
